communityDistrict,name,complete_bach_cd,complete_hs_somecollege_cd,grad_degree_cd,no_hs_cd
201,Bronx CD 1,7.489474022,49.24680541,2.81292942,40.45079115
202,Bronx CD 2,7.866326251,49.23525083,2.568182364,40.33024055
203,Bronx CD 3,9.997665016,52.07973732,3.049657107,34.87294056
204,Bronx CD 4,11.16593169,49.34449968,4.008294424,35.48127421
205,Bronx CD 5,9.088284815,53.08656326,3.437887851,34.38726407
206,Bronx CD 6,9.045847468,49.32201806,3.761346062,37.87078841
207,Bronx CD 7,12.53251275,50.9902141,4.900248677,31.57702447
208,Bronx CD 8,21.27427031,41.54851016,19.7652482,17.41197133
209,Bronx CD 9,11.16040165,54.37851646,4.809135396,29.65194649
210,Bronx CD 10,15.10846925,58.18667119,9.799616323,16.90524323
211,Bronx CD 11,14.56990476,52.49487821,9.525707352,23.40950967
212,Bronx CD 12,15.69955374,57.23453474,7.050047089,20.01586443
301,Brooklyn CD 1,29.3716372,37.88431975,14.61616065,18.1278824
302,Brooklyn CD 2,31.98415372,28.21614003,30.01485657,9.784849683
303,Brooklyn CD 3,19.79329329,48.32575336,11.06534952,20.81560383
304,Brooklyn CD 4,16.84813376,42.17365545,5.771838589,35.20637219
305,Brooklyn CD 5,9.8063318,62.43574788,4.144084336,23.61383598
306,Brooklyn CD 6,33.91622665,20.72416175,35.7931797,9.566431901
307,Brooklyn CD 7,17.20487194,31.88629961,13.09358872,37.81523972
308,Brooklyn CD 8,23.59779742,43.21034154,17.83964256,15.35221849
309,Brooklyn CD 9,17.54429365,54.32807419,12.05740919,16.07022298
310,Brooklyn CD 10,23.32977588,41.69581039,15.80488537,19.16952836
311,Brooklyn CD 11,20.04286126,44.88059805,8.874179435,26.20236126
312,Brooklyn CD 12,15.69692062,46.79457391,11.20091092,26.30759455
313,Brooklyn CD 13,21.88745338,46.75477242,13.57232927,17.78544494
314,Brooklyn CD 14,21.42460244,46.32614536,14.24841354,18.00083865
315,Brooklyn CD 15,24.30120993,45.43351113,15.15699512,15.10828382
316,Brooklyn CD 16,10.3207738,58.73633144,3.755229833,27.18766493
317,Brooklyn CD 17,14.73036196,62.56546,7.287476718,15.41670132
318,Brooklyn CD 18,19.08205588,56.94246748,11.32439163,12.65108502
101,Manhattan CD 1,44.13040968,13.36716042,38.15519132,4.347238574
102,Manhattan CD 2,43.46496221,15.42650226,36.92100896,4.187526575
103,Manhattan CD 3,29.02823996,31.7541398,15.09157942,24.12604081
104,Manhattan CD 4,40.55030185,21.90369209,31.47126304,6.074743015
105,Manhattan CD 5,41.13720904,15.97354061,39.1907249,3.698525456
106,Manhattan CD 6,42.2590415,18.16084572,36.54896515,3.031147627
107,Manhattan CD 7,31.77083612,19.19401794,42.70319876,6.331947185
108,Manhattan CD 8,39.81415645,17.20641903,40.32804572,2.651378806
109,Manhattan CD 9,20.49100763,35.36684013,22.15466336,21.98748888
110,Manhattan CD 10,20.05351194,44.77327348,16.08333727,19.08987731
111,Manhattan CD 11,19.24546805,42.27886165,13.28593724,25.18973306
112,Manhattan CD 12,19.48173962,38.31648665,13.00581694,29.1959568
401,Queens CD 1,27.44742627,39.78678052,14.72414602,18.04164719
402,Queens CD 2,24.97418371,42.13196118,13.48830876,19.40554635
403,Queens CD 3,13.75406738,50.11581021,7.210668293,28.91945412
404,Queens CD 4,15.02599486,47.971765,6.201374694,30.80086544
405,Queens CD 5,17.24064964,57.43391701,8.886630354,16.438803
406,Queens CD 6,30.2695386,37.34810991,24.22278086,8.159570628
407,Queens CD 7,17.35510059,49.98737528,9.946464307,22.71105983
408,Queens CD 8,24.0503933,45.46931077,16.35841465,14.12188128
409,Queens CD 9,17.67589908,50.50316801,8.366968235,23.45396467
410,Queens CD 10,14.8085512,56.13511503,5.922316358,23.13401741
411,Queens CD 11,25.14460907,45.64040305,18.43676804,10.77821984
412,Queens CD 12,14.3243237,59.75641649,6.745362568,19.17389724
413,Queens CD 13,17.47262939,59.14544904,10.86601569,12.51590588
414,Queens CD 14,16.37105838,50.50832569,10.65094108,22.46967485
501,Staten Island CD 1,17.18627793,55.75058286,12.18824869,14.87489051
502,Staten Island CD 2,18.83977921,56.88088232,13.32795179,10.95138668
503,Staten Island CD 3,20.07856483,59.77833983,12.54355136,7.59954398
