INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
191703454,12/31/2018,21:45:00,BRONX,47,0,HOSPITAL,false,,,,25-44,M,BLACK,1023220,265927,40.8965041,-73.85904245
191698518,12/31/2018,16:56:00,MANHATTAN,6,0,MULTI DWELL - APT BUILD,true,25-44,M,BLACK,45-64,M,WHITE,982680,206254,40.73280433,-74.00566637
191681604,12/30/2018,15:10:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1001946,184888,40.67414213,-73.93620639
191681602,12/30/2018,3:12:00,QUEENS,114,0,BAR/NIGHT CLUB,false,,,,25-44,M,BLACK,1007977,217884,40.76469406,-73.91434801
191681601,12/30/2018,2:22:00,BROOKLYN,75,0,GROCERY/BODEGA,false,,,,25-44,M,BLACK,1017442,184924,40.6741964,-73.88034234
191681603,12/28/2018,23:54:00,BROOKLYN,69,0,,false,,,,18-24,M,UNKNOWN,1010887,175381,40.64802513,-73.90401118
191681599,12/28/2018,23:01:00,QUEENS,113,0,MULTI DWELL - APT BUILD,false,,,,45-64,M,BLACK,1046405,187113,40.68004873,-73.77590919
191681600,12/28/2018,22:07:00,BRONX,42,0,MULTI DWELL - APT BUILD,true,,,,25-44,M,BLACK,1014350,242239,40.83152247,-73.89123262
191681185,12/28/2018,21:52:00,BRONX,40,0,,false,,,,18-24,M,WHITE HISPANIC,1006669,233631,40.80791877,-73.91901728
191681185,12/28/2018,21:52:00,BRONX,40,0,,false,,,,45-64,M,BLACK,1006669,233631,40.80791877,-73.91901728
191558082,12/26/2018,19:23:00,MANHATTAN,25,0,,false,,,,25-44,M,WHITE HISPANIC,1003215,229767,40.79732124,-73.93150508
191557604,12/26/2018,17:37:00,QUEENS,103,0,,false,45-64,M,BLACK,45-64,M,BLACK,1043556,192619,40.69518094,-73.78613241
191557605,12/26/2018,16:16:00,MANHATTAN,23,0,,false,,,,<18,M,BLACK,998784,229938,40.79779899,-73.94750826
191513831,12/25/2018,23:30:00,BROOKLYN,81,0,,false,18-24,M,BLACK,25-44,M,BLACK,1003927,186763,40.6792844,-73.92905931
191479841,12/24/2018,0:20:00,BRONX,48,0,,false,,,,18-24,F,WHITE HISPANIC,1011811,246833,40.84413995,-73.90038862
191479842,12/23/2018,20:46:00,MANHATTAN,25,0,,false,<18,M,BLACK,<18,M,BLACK,1000856,229996,40.79795453,-73.94002457
191480610,12/23/2018,5:50:00,BRONX,48,0,,false,,,,18-24,M,BLACK HISPANIC,1014898,249846,40.85239956,-73.88921761
191480612,12/22/2018,6:00:00,BRONX,47,0,,false,,,,25-44,M,BLACK,1022347,261604,40.88464266,-73.86222478
191479840,12/22/2018,4:03:00,BROOKLYN,73,0,BAR/NIGHT CLUB,false,,,,25-44,M,BLACK,1008427,183518,40.67036646,-73.91284696
191479843,12/22/2018,1:10:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1005040,189271,40.68616574,-73.92503884
191479843,12/22/2018,1:10:00,BROOKLYN,81,0,,false,,,,45-64,M,BLACK,1005040,189271,40.68616574,-73.92503884
191479839,12/21/2018,23:30:00,BRONX,50,0,,false,,,,25-44,M,BLACK,1011326,261232,40.88366233,-73.90208337
191409504,12/21/2018,0:57:00,BRONX,42,0,,true,18-24,M,BLACK,25-44,M,BLACK,1011926,242049,40.8310089,-73.89999272
191398448,12/20/2018,23:00:00,BRONX,44,0,,false,,,,25-44,M,WHITE HISPANIC,1003363,242374,40.83192361,-73.93093464
191398917,12/20/2018,18:16:00,BRONX,43,0,,true,18-24,M,BLACK,18-24,M,BLACK,1025108,243208,40.83413887,-73.85235186
191398449,12/20/2018,0:30:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1010725,238488,40.82123865,-73.90434664
191311565,12/18/2018,16:33:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,true,,,,18-24,M,BLACK,1005388,187682,40.68180348,-73.92378904
191311564,12/18/2018,0:49:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,BLACK,1008172,178080,40.65544105,-73.91378549
