"","the_geom","female_50_54","the_geom_webmercator","shared_puma","fp_500_mhhi","fp_100_mhhi","cd_tot_resunits","fp_500_resunits","fp_500_bldg","fp_100_resunits","cd_tot_bldgs","fp_100_bldg","moe_under18_rate_nyc","moe_under18_rate_boro","total_lot_area","lot_area_other_no_data","lot_area_parking","lot_area_open_space","lot_area_public_facility_institution","lot_area_transportation_utility","lot_area_industrial_manufacturing","lot_area_commercial_office","lot_area_mixed_use","lot_area_res_multifamily_elevator","lot_area_res_multifamily_walkup","lot_area_res_1_2_family_bldg","lots_total","lots_other_no_data","lots_vacant","lots_parking","lots_open_space","lots_public_facility_institution","lots_transportation_utility","lots_industrial_manufacturing","lots_commercial_office","lots_mixed_use","lots_res_multifamily_elevator","lots_res_multifamily_walkup","lots_res_1_2_family_bldg","pct_served_parks","count_public_schools","count_libraries","count_hosp_clinic","count_parks","crime_count_nyc","crime_count_boro","crime_count","pct_clean_strts_nyc","pop_acs","pop_2010","pop_2000","puma","borocd","fp_500_pop","fp_100_pop","lot_area_vacant","cb_email","cb_website","acs_tooltip","neighborhoods","son_issue_3","son_issue_2","son_issue_1","cd_son_fy2018","shared_puma_cd","cd_short_title","cd_full_title","fp_500_cost_burden","fp_100_cost_burden","fp_500_rent_burden","fp_100_rent_burden","fp_500_permortg","fp_100_permortg","fp_500_ownerocc","fp_100_ownerocc","fp_500_openspace","fp_100_openspace","fp_500_area","fp_100_area","pct_hispanic","pct_other_nh","pct_asian_nh","pct_black_nh","pct_white_nh","female_85_over","male_85_over","female_80_84","male_80_84","female_75_79","male_75_79","female_70_74","male_70_74","female_65_69","male_65_69","female_60_64","male_60_64","female_55_59","male_55_59","cartodb_id","male_50_54","female_45_49","male_45_49","female_40_44","male_40_44","female_35_39","male_35_39","female_30_34","male_30_34","female_25_29","male_25_29","female_20_24","male_20_24","female_15_19","male_15_19","female_10_14","male_10_14","female_5_9","male_5_9","female_under_5","male_under_5","moe_over65_rate_nyc","over65_rate_nyc","moe_over65_rate_boro","over65_rate_boro","moe_over65_rate","over65_rate","under18_rate_nyc","under18_rate_boro","moe_under18_rate","under18_rate","moe_lep_rate_nyc","lep_rate_nyc","moe_lep_rate_boro","lep_rate_boro","moe_lep_rate","lep_rate","moe_foreign_born","pct_foreign_born","pct_lot_area_other_no_data","pct_lot_area_vacant","pct_lot_area_parking","pct_lot_area_open_space","pct_lot_area_public_facility_institution","pct_lot_area_transportation_utility","pct_lot_area_industrial_manufacturing","pct_lot_area_commercial_office","pct_lot_area_mixed_use","pct_lot_area_res_multifamily_elevator","pct_lot_area_res_multifamily_walkup","pct_lot_area_res_1_2_family_bldg","crime_per_1000_nyc","crime_per_1000_boro","crime_per_1000","pct_clean_strts_boro","pct_clean_strts","moe_hh_rent_burd_nyc","pct_hh_rent_burd_nyc","moe_hh_rent_burd_boro","pct_hh_rent_burd_boro","moe_hh_rent_burd","pct_hh_rent_burd","moe_mean_commute_nyc","mean_commute_nyc","moe_mean_commute_boro","mean_commute_boro","moe_mean_commute","mean_commute","moe_unemnployment","unemployment_nyc","moe_unemployment_boro","unemployment_boro","moe_unemployment_cd","unemployment_cd","moe_bach_deg_nyc","pct_bach_deg_nyc","moe_bach_deg_boro","pct_bach_deg_boro","moe_bach_deg","pct_bach_deg","poverty_rate_nyc","poverty_rate_boro","moe_poverty_rate","poverty_rate","pop_change_00_10","area_sqmi","acres","acs_tooltip_2","acs_tooltip_3","fp_100_ownerocc_value","fp_500_ownerocc_value","fp_100_mortg_value","fp_500_mortg_value","fp_100_cost_burden_value","fp_500_cost_burden_value","fp_100_rent_burden_value","fp_500_rent_burden_value","subborough","borough"
"1",NA,2.2,NA,"false",82000,93000,82471,22491,3495,10046,16906,1294,0,NA,95214818,3318532,3376477,4833056,4944547,8596686,23667337,3924879,9797667,6914415,16598721,5043400,15051,286,401,494,79,347,105,1325,458,2667,431,5852,2606,96,49,4,19,28,96515,28276,2336,96,157433,173083,160338,4001,301,21206,3397,4199101,"bk01@cb.nyc.gov","www.nyc.gov/html/bkncb1","American Community Survey 2012-2016 5-Year Estimates for PUMA 4001, which is an approximation of Brooklyn CD 1","East Williamsburg, Greenpoint, Northside, Southside, Williamsburg","Senior services","Neighborhood preservation (development trends)","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bk01_statement_2018.pdf","","Brooklyn CD 1","Brooklyn Community District 1",0.3737486096,0.3506493506,0.4357192869,0.4160079051,0.6407119021,0.692131398,0.1827087229,0.2067767159,0.118,0.041,2.49,1.11,23.3,2.1,7.3,4.2,63,1,0.5,0.7,0.4,0.9,0.6,1,0.7,1.7,1.5,2.3,1.8,2.4,1.9,25,2.4,2.3,2.5,2.8,3.2,4.3,4.8,6.4,6.9,7.7,6.8,3.8,3.1,2,2.6,2.3,2.5,2.7,2.9,3.8,4.5,0.1,13,0.1,12.2,0.5,9,21.2,23.3,0.8,21.6,0.1,23,0.2,23.1,0.9,22.5,0.8,23.6,0.034853104,0.044101339,0.035461676,0.050759494,0.051930436,0.09028727,0.248567791,0.041221304,0.102900654,0.072619106,0.174329178,0.052968646,11.8,11.2,16.143842,93.4,92.5,0.2,44.6,0.3,45.7,1.7,40.6,0.1,40.3,0.2,42,0.5,34,0.1,5.5,0.1,5.7,0.4,4.3,0.2,36.2,0.2,34.1,1.2,46.3,20.3,21.6,1,17.3,0.08,4.7,3025.3,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4001, which is an approximation of Brooklyn CD 1.","2010 Census population counts for floodplain area within Brooklyn CD 1.",2618,4495,1812,2880,918,1680,3789,8090,"Greenwich Village/Financial District","Manhattan"
"2",NA,3.4,NA,"false",NA,NA,45824,0,0,0,29458,0,0,NA,70076837,79245,1081090,1516122,3326236,2430556,2111205,3203951,3466671,2441911,7769630,41917103,20422,23,260,266,17,196,100,192,349,1284,96,2302,15337,71,31,2,9,4,96515,19371,916,96,154987,143317,141608,4111,409,0,0,733117,"communitybd9@nyc.rr.com","www1.nyc.gov/site/queenscb9/index.page","American Community Survey 2012-2016 5-Year Estimates for PUMA 4111, which is an approximation of Queens CD 9","Kew Gardens, Ozone Park, Richmond Hill, Woodhaven","Senior services","Schools","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/qn09_statement_2018.pdf","","Queens CD 9","Queens Community District 9",0,0,0,0,0,0,0,0,0,0,0,0,41.8,8.1,26.3,5.8,17.9,0.9,0.3,0.6,0.5,1,0.8,1.4,1.1,2.2,1.7,2.8,2.7,3.5,3.1,51,3.4,3.8,3.7,3.7,3.3,3.4,3.5,3.6,3.9,4.1,4.2,4,4.1,3.2,3.4,2.9,3.2,2.8,3.3,3.3,3.3,0.1,13,0.1,13.7,0.5,10.4,21.2,20.5,0.7,22.9,0.1,23,0.2,28.9,0.9,25.7,1,50.9,0.00113083,0.010461617,0.015427209,0.021635137,0.047465556,0.034684157,0.030127002,0.045720542,0.04946957,0.034846193,0.110873012,0.598159175,11.8,9.1,7.364655,96.8,95,0.2,44.6,0.6,47.5,2.2,48.3,0.1,40.3,0.2,43,0.6,45,0.1,5.5,0.1,5,0.4,5.2,0.2,36.2,0.3,30.6,0.8,26.1,20.3,20.2,0.9,21.9,0.01,3.8,2459.8,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4111, which is an approximation of Queens CD 9.","2010 Census population counts for floodplain area within Queens CD 9.",0,0,0,0,0,0,0,0,"Ozone Park/Woodhaven","Queens"
"3",NA,4.4,NA,"false",35000,40000,60790,5053,3906,2583,69527,1847,0,NA,237429842,283842,2475365,31486934,19390103,2501489,5198620,6435498,1677363,4572448,12726682,146752225,43676,59,889,332,99,245,100,169,558,628,8,694,39895,39,64,7,6,13,96515,19371,1698,96,200852,188593,196284,4105,413,12284,2686,3929273,"info@qcb13.org","www1.nyc.gov/site/queenscb13/index.page","American Community Survey 2012-2016 5-Year Estimates for PUMA 4105, which is an approximation of Queens CD 13","Bellaire, Bellerose, Brookville, Cambria Heights, Floral Park, Glen Oaks, Laurelton, New Hyde Park, Queens Village, Rosedale, Springfield Gardens","Traffic","Neighborhood preservation (development trends)","Commercial development (retail mix, small business and MWBE support, etc.)","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/qn13_statement_2018.pdf","","Queens CD 13","Queens Community District 13",0.5051294577,0.4832914121,0.4619676946,0.4389908257,0.7789447973,0.7811713978,0.5132255234,0.5347809377,0.813,0.774,2.41,1.05,11.7,5.5,15,56.1,11.7,1.5,0.6,1.1,0.6,1.5,1.2,2.1,1.8,2.8,2.1,3.4,2.9,3.9,3.4,55,3.6,3.9,3,3.3,3,3.3,2.8,3.3,3.5,3.8,3.4,4.1,3.4,2.9,3.1,2.7,2.8,2.6,2.5,3,2.6,0.1,13,0.1,13.7,0.5,15.3,21.2,20.5,0.6,19.9,0.1,23,0.2,28.9,0.6,12.4,1,41.7,0.001195477,0.016549196,0.010425669,0.132615739,0.081666663,0.010535698,0.021895394,0.027104841,0.007064668,0.019258102,0.053601864,0.618086689,11.8,9.1,8.711107,96.8,97.1,0.2,44.6,0.6,47.5,2.9,43.8,0.1,40.3,0.2,43,0.7,47,0.1,5.5,0.1,5,0.4,5.4,0.2,36.2,0.3,30.6,0.9,28.4,20.3,20.2,0.7,13.2,-0.04,12.6,8044.4,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4105, which is an approximation of Queens CD 13.","2010 Census population counts for floodplain area within Queens CD 13.",2783,4094,2174,3189,1345,2068,957,1573,"Queens Village","Queens"
"4",NA,3.2,NA,"false",47000,47000,44616,1035,102,989,5420,96,0,0,78946327,83900,780353,12854877,12524324,1553466,412449,2160929,1538129,12165855,2993738,18227826,5011,18,446,79,50,142,32,11,188,145,282,542,3076,91,33,6,10,20,96515,20128,957,96,109810,101731,101332,3701,208,41,36,13650481,"bx08@cb.nyc.gov","www.nyc.gov/html/bxcb8","American Community Survey 2012-2016 5-Year Estimates for PUMA 3701, which is an approximation of Bronx CD 8","Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil","Senior services","Parks","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx08_statement_2018.pdf","","Bronx CD 8","Bronx Community District 8",0.1142857143,0.1330409357,0.5112676056,0.5178919974,0.3625615764,0.4459064327,0.3066465257,0.2893401015,0.131,0.119,1.31,0.82,47.7,2.3,5.2,12.4,32.4,2.3,0.8,1.3,0.8,1.7,1.1,1.9,1.3,2.8,2.4,3.4,2.5,3.5,2.6,20,2.5,3.2,3.1,2.9,3.5,3.6,2.8,4,3.8,4.2,3.5,4,3.2,2.3,2.9,2.3,2.8,2.8,3.1,3.2,4.5,0.1,13,0.1,11.3,0.7,16.6,21.2,25.6,0.9,21.4,0.1,23,0.3,26,1.2,20.6,1.4,34,0.001062747,0.172908374,0.009884602,0.16283059,0.15864353,0.019677496,0.005224423,0.027372128,0.019483224,0.154102863,0.037921182,0.230888842,11.8,14.3,8.827964,95.2,97.1,0.2,44.6,0.5,50.6,1.9,43.8,0.1,40.3,0.2,43.5,1.1,45,0.1,5.5,0.2,7.5,0.7,5.9,0.2,36.2,0.3,19.1,1.4,39.5,20.3,25.8,1.3,15.2,0,3.3,2113.1,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3701, which is an approximation of Bronx CD 8.","2010 Census population counts for floodplain area within Bronx CD 8.",684,1015,305,368,91,116,796,1089,"North Crown Heights/Prospect Heights","Brooklyn"
"5",NA,3,NA,"false",70000,NA,67704,194,87,0,17006,0,0,NA,54841065,186967,1179395,1815373,6596978,313996,1772598,1601766,4559511,6477201,14794921,13265166,16995,71,822,284,39,368,32,199,245,1457,194,6373,6911,95,95,4,20,35,96515,28276,2699,96,142689,152985,143867,4003,303,0,0,2277193,"bk03@cb.nyc.gov","https://www1.nyc.gov/site/brooklyncb3/index.page","American Community Survey 2012-2016 5-Year Estimates for PUMA 4003, which is an approximation of Brooklyn CD 3","Bedford-Stuyvesant, Stuyvesant Heights, Tompkins Park North","Trash removal & cleanliness","Schools","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bk03_statement_2018.pdf","","Brooklyn CD 3","Brooklyn Community District 3",0.4528301887,0,0.7082840237,0,0.7358490566,0,0.190647482,0,0,0,0.05,0,18.8,2,3.2,53,23.1,0.6,0.4,0.8,0.4,1.2,0.5,1.4,0.9,1.8,1.4,2.3,1.7,3.1,2.2,27,2.8,2.9,2.6,3,2.5,3.8,3.3,4.7,4.3,5.9,5.2,4.9,3.9,2.9,3.3,3,3.3,3.3,4.1,4,4.5,0.1,13,0.1,12.2,0.5,9.3,21.2,23.3,1,26.3,0.1,23,0.2,23.1,0.9,12.1,0.9,19.6,0.003409252,0.041523501,0.021505691,0.033102439,0.120292668,0.005725563,0.032322458,0.02920742,0.083140453,0.118108593,0.269778149,0.241883815,11.8,11.2,20.585544,93.4,90.7,0.2,44.6,0.3,45.7,1.7,46.1,0.1,40.3,0.2,42,0.8,41,0.1,5.5,0.1,5.7,0.7,8.3,0.2,36.2,0.2,34.1,1.1,29.6,20.3,21.6,1,22.6,0.06,2.9,1824.2,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4003, which is an approximation of Brooklyn CD 3.","2010 Census population counts for floodplain area within Brooklyn CD 3.",0,424,0,312,0,192,0,1197,"Chelsea/Clinton/Midtown","Manhattan"
"6",NA,2.7,NA,"false",NA,NA,39984,0,0,0,11575,0,0,NA,40143265,234552,1049915,6340103,3479417,573372,2017123,1452607,2990564,1194444,11533860,8345748,11245,76,275,296,102,191,33,192,212,1123,68,4516,4161,88,51,2,14,14,96515,28276,1588,96,135837,112634,104358,4002,304,0,0,931560,"BK04@CB.NYC.GOV","www.nyc.gov/brooklyncb4","American Community Survey 2012-2016 5-Year Estimates for PUMA 4002, which is an approximation of Brooklyn CD 4","Bushwick","Youth and children’s services","Health care services","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bk04_statement_2018.pdf","","Brooklyn CD 4","Brooklyn Community District 4",0,0,0,0,0,0,0,0,0,0,0,0,60.5,1.6,4.8,18.3,14.8,0.5,0.3,0.6,0.4,0.8,0.6,1.3,0.8,1.7,1.2,2.1,1.3,2.4,2.2,28,2.5,3.1,2.9,3,3.3,3.6,3.9,4.7,5.2,6.4,7,5.5,5.5,2.7,3.1,2.9,3.2,3,3.1,3.1,3.2,0.1,13,0.1,12.2,0.4,8.3,21.2,23.3,0.8,22,0.1,23,0.2,23.1,1.2,30.1,1.2,34.6,0.005842873,0.023205885,0.0261542,0.157936904,0.086674988,0.014283143,0.050248105,0.036185572,0.074497279,0.02975453,0.287317437,0.207899083,11.8,11.2,11.884736,93.4,92.1,0.2,44.6,0.3,45.7,1.6,48.6,0.1,40.3,0.2,42,0.6,40,0.1,5.5,0.1,5.7,0.6,8.8,0.2,36.2,0.2,34.1,1.1,23.8,20.3,21.6,1.2,25.1,0.08,2,1300.9,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4002, which is an approximation of Brooklyn CD 4.","2010 Census population counts for floodplain area within Brooklyn CD 4.",0,0,0,0,0,0,0,0,"Stuyvesant Town/Turtle-Bay","Manhattan"
"7",NA,3.9,NA,"false",23000,20000,63596,6530,661,48,23281,11,0,NA,109315813,781543,6080784,14483727,8336168,4125771,7507387,4057559,3702476,10885089,11749016,29161080,20995,212,1030,585,98,343,152,395,299,1170,50,4119,12542,84,106,4,23,38,96515,28276,3206,96,155735,182896,173198,4008,305,2526,0,8445213,"bk05@cb.nyc.gov","www.brooklyncb5.org","American Community Survey 2012-2016 5-Year Estimates for PUMA 4008, which is an approximation of Brooklyn CD 5","Broadway Junction, City Line, Cypress Hills, East New York, Highland Park, New Lots, Spring Creek, Starrett City","Unemployment","Cultural facilities & programs","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bk05_statement_2018.pdf","","Brooklyn CD 5","Brooklyn Community District 5",0.5417976116,0.443148688,0.5465971796,0.5551330798,0.8592080453,0.9300291545,0.1777653631,0.1181536342,0.156,0.144,1.14,0.29,37.1,2.4,4.5,52.2,3.8,0.9,0.4,0.8,0.4,1.1,0.7,1.7,1,2.1,1.4,2.8,2.4,3.2,2.6,29,3,3.9,2.7,3.3,2.7,3.5,3,4,3.1,4.2,3.7,4.5,3.9,3.6,3.7,3.3,3.4,3.8,3.5,3.7,4,0.1,13,0.1,12.2,0.4,10.5,21.2,23.3,0.8,26.2,0.1,23,0.2,23.1,0.8,15.7,1.2,35.9,0.007149405,0.077255182,0.055625841,0.132494345,0.076257659,0.037741758,0.06867613,0.037117768,0.033869537,0.099574697,0.107477735,0.266759943,11.8,11.2,20.905923,93.4,92.1,0.2,44.6,0.3,45.7,1.6,47.1,0.1,40.3,0.2,42,0.9,46,0.1,5.5,0.1,5.7,0.6,5.7,0.2,36.2,0.2,34.1,0.8,14.6,20.3,21.6,1.1,29.8,0.06,5.6,3569.3,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4008, which is an approximation of Brooklyn CD 5.","2010 Census population counts for floodplain area within Brooklyn CD 5.",343,1591,319,1367,152,862,1314,3566,"Upper West Side","Manhattan"
"8",NA,2.7,NA,"false",52000,37000,54104,8630,2163,6171,14234,1354,0,NA,61906670,1993705,2791627,3663345,3110197,3276826,11635307,4274356,3927874,3875573,12919271,8001340,13825,135,437,305,43,183,51,568,230,1622,119,5653,4479,92,45,4,17,17,96515,28276,1116,96,116344,104709,104054,4005,306,14848,6940,2437249,"info@brooklyncb6.org","www1.nyc.gov/site/brooklyncb6/index.page","American Community Survey 2012-2016 5-Year Estimates for PUMA 4005, which is an approximation of Brooklyn CD 6","Carroll Gardens, Cobble Hill, Columbia St, Gowanus, Park Slope, Red Hook","Not submitted","Not submitted","Not submitted","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bk06_statement_2018.pdf","","Brooklyn CD 6","Brooklyn Community District 6",0.2875337707,0.262125903,0.3980180632,0.4036207152,0.6808182169,0.6991744066,0.2282417195,0.2063238582,0.113,0.104,1.59,0.98,17.5,4.7,6.4,6.8,64.6,0.8,0.3,0.8,0.4,0.6,0.7,1.3,1.1,1.9,1.7,2.6,2.3,2.6,2.6,30,2.5,3.5,3.7,4.3,4.4,5.5,5.4,6.9,6.1,5.3,4.8,2.6,1.7,1.7,1.6,1.9,2.1,3,2.6,4,4,0.1,13,0.1,12.2,0.6,9.6,21.2,23.3,0.7,19.9,0.1,23,0.2,23.1,0.7,8.1,1,17,0.032205011,0.039369732,0.045094123,0.059175288,0.050240095,0.052931712,0.187949166,0.069045161,0.063448317,0.06260348,0.208689484,0.129248432,11.8,11.2,9.79208,93.4,96,0.2,44.6,0.3,45.7,1.9,29.3,0.1,40.3,0.2,42,0.5,38,0.1,5.5,0.1,5.7,0.5,4.5,0.2,36.2,0.2,34.1,1.2,70.9,20.3,21.6,0.8,9.5,0.01,3.1,1962.7,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4005, which is an approximation of Brooklyn CD 6.","2010 Census population counts for floodplain area within Brooklyn CD 6.",1938,2591,1355,1764,508,745,2720,3173,"Upper East Side","Manhattan"
"9",NA,2.7,NA,"false",77000,119000,64080,3978,414,1815,8677,240,0,NA,55305805,161759,1282606,4969700,8360209,9491264,1948501,3912154,5862147,5800651,7138916,4678941,8231,29,242,208,113,261,60,185,319,1189,245,2964,2416,99,61,4,27,28,96515,28276,1940,96,135679,99617,98620,4004,302,1919,790,1698957,"cb2k@nyc.rr.com","www.nyc.gov/html/bkncb2","American Community Survey 2012-2016 5-Year Estimates for PUMA 4004, which is an approximation of Brooklyn CD 2","Boerum Hill, Brooklyn Heights, Clinton Hill, Downtown Brooklyn, DUMBO, Fort Greene, Fulton Ferry, Navy Yard, Vinegar Hill","Other","Schools","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bk02_statement_2018.pdf","","Brooklyn CD 2","Brooklyn Community District 2",0.2421109902,0.2348613469,0.3771208226,0.3434489403,0.7187159956,0.7226938314,0.2897225725,0.4002265006,0.048,0.042,1,0.48,15.8,4.2,9.2,26.1,44.7,1.1,0.5,1,0.4,1,0.8,1.5,1,2,1.6,2.6,2.1,2.7,2.2,26,2.5,3.1,3.3,3.8,3.7,4.7,4.8,6.8,6.1,6.2,4.9,3.8,3.6,2.5,2,1.8,2,2.3,2.5,3.2,3.4,0.1,13,0.1,12.2,0.4,10.8,21.2,23.3,0.6,17.3,0.1,23,0.2,23.1,0.8,9.5,0.8,20.1,0.002924811,0.030719325,0.023191164,0.08985856,0.151163318,0.171614246,0.035231401,0.07073677,0.105995148,0.104883222,0.129080772,0.084601264,11.8,11.2,14.580443,93.4,94.8,0.2,44.6,0.3,45.7,1.4,32.1,0.1,40.3,0.2,42,0.6,35,0.1,5.5,0.1,5.7,0.5,5.5,0.2,36.2,0.2,34.1,0.9,59.9,20.3,21.6,0.8,12.1,0.01,2.8,1821,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 4004, which is an approximation of Brooklyn CD 2.","2010 Census population counts for floodplain area within Brooklyn CD 2.",1767,1838,1277,1321,415,445,713,1467,"Lower East Side/Chinatown","Manhattan"
"10",NA,3.7,NA,"false",NA,NA,50654,0,9,0,6816,9,0,0,33449272,73526,1064272,2596496,7872597,986908,333132,2194797,2556823,5135707,5150064,3497288,3665,13,128,105,30,160,38,24,245,312,354,977,1279,98,46,4,20,16,96515,20128,1742,96,129955,139286,141411,3706,207,0,0,1987662,"info@bronxcb7.info","www.bronxcb7.info","American Community Survey 2012-2016 5-Year Estimates for PUMA 3706, which is an approximation of Bronx CD 7","Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights","Schools","Neighborhood preservation (development trends)","Affordable housing","http://www1.nyc.gov/assets/planning/download/pdf/community/community-portal/statement_needs/bx07_statement_2018.pdf","","Bronx CD 7","Bronx Community District 7",0,0,0.5595463138,0.5595463138,0,0,0.01204819277,0.01204819277,0,0,0.12,0.06,69.6,2.2,6.1,15.4,6.6,0.8,0.3,0.8,0.4,0.9,0.6,1.5,0.7,1.6,1.4,2.8,2.3,2.8,2.2,19,2.8,3.3,2.9,3.3,3.3,3.8,3.2,4.6,4.3,4,4.6,4.2,4.2,3,3.3,3.4,3.5,3.6,3.3,4.1,4.6,0.1,13,0.1,11.3,0.6,9,21.2,25.6,1,26.4,0.1,23,0.3,26,1.5,35.2,1.4,43.9,0.002198135,0.059423177,0.031817494,0.077624888,0.235359293,0.029504618,0.00995932,0.065615688,0.076438824,0.153537183,0.1539664,0.104554981,11.8,14.3,15.823031,95.2,95.3,0.2,44.6,0.5,50.6,1.8,55,0.1,40.3,0.2,43.5,0.8,43,0.1,5.5,0.2,7.5,0.9,9.2,0.2,36.2,0.3,19.1,1.3,17,20.3,25.8,1.5,26.4,-0.02,1.9,1223.5,"American Community Survey (ACS) 2013-2017 5-year estimates for floodplain area within PUMA 3706, which is an approximation of Bronx CD 7.","2010 Census population counts for floodplain area within Bronx CD 7.",7,7,0,0,0,0,296,296,"Sunset Park","Brooklyn"
