"","PD_DESC","OFNS_DESC","LAW_CAT_CD","AGE_GROUP","PERP_SEX","PERP_RACE","Latitude","Longitude","YEAR"
"1","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE",40.750999048,-73.9906247119999,2017
"2","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","F","BLACK",40.658845109,-73.8805969439999,2017
"3","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","WHITE HISPANIC",40.8289813390001,-73.897759041,2017
"4","IDENTITY THFT-2","THEFT-FRAUD","F","25-44","M","BLACK",40.715526213,-74.0012387479999,2017
"5","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK HISPANIC",40.625586727,-73.946649424,2017
"6","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.586231405,-73.816011121,2017
"7","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","25-44","F","WHITE HISPANIC",40.722793939,-74.009655615,2017
"8","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","BLACK HISPANIC",40.771993179,-73.986469853,2017
"9","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","BLACK",40.6720091500001,-73.959885679,2017
"10","OBSCENE MATERIAL - UNDER 17 YEARS OF AGE","SEX CRIMES","F","25-44","M","BLACK",40.716195914,-73.997490746,2017
"11","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.775280384,-73.907073619,2017
"12","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.6342466560001,-73.922697625,2017
"13","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.680048726,-73.775909194,2017
"14","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.742962354,-73.955274248,2017
"15","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","F","WHITE",40.763976222,-73.973241135,2017
"16","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","M","BLACK",40.844139945,-73.900388618,2017
"17","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","WHITE",40.6232268190001,-74.1492269729999,2017
"18","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","F","BLACK",40.6748813620001,-74.008660882,2017
