X,Y,facname,facdomain,borocd
-73.919883,40.812223,Every Day is a Miracle c/o The Almond Tree Church,Health and Human Services,201
-73.909358,40.811063,Foreign Language Academy Of Global Studies,"Education, Child Welfare, and Youth",201
-73.91359,40.818745,Bronx Business Center,Administration of Government,201
-73.903672,40.816642,Community Union Sro,Health and Human Services,201
-73.921008,40.811238,Abraham House Inc.,Health and Human Services,201
-73.905854,40.811998,Pre - K Center At 535 Union Avenue,"Education, Child Welfare, and Youth",201
-73.92716,40.81321,Rider Job Center,Administration of Government,201
-73.916855,40.805625,St. Mary's East Playground,"Education, Child Welfare, and Youth",201
-73.908597,40.821222,NYCHA-Union Ave,"Education, Child Welfare, and Youth",201
-73.903335,40.818543,Union,Health and Human Services,201
-73.910285,40.803602,Per Scholas Institute For Technology,"Education, Child Welfare, and Youth",201
-73.91913,40.805468,Millbrook,Health and Human Services,201
-73.907861,40.815277,South Bronx School Of Technology,"Education, Child Welfare, and Youth",201
-73.918001,40.821021,Melrose Early Childhood Center,Health and Human Services,201
-73.92177,40.808883,NYC Montessori Charter School,"Education, Child Welfare, and Youth",201
-73.925538,40.815621,Momentum Project Inc. @ COGOP,Health and Human Services,201
-73.910549,40.822117,Boom! Health,Health and Human Services,201
-73.919664,40.813186,Bronx Alt To Detention,"Education, Child Welfare, and Youth",201
-73.924567,40.805241,Pulaski Park,"Parks, Gardens, and Historical Sites",201
-73.916437,40.800948,BX04g,Core Infrastructure and Transportation,201
-73.909004,40.802954,Parallel Products of New England,Core Infrastructure and Transportation,201
-73.922656,40.810346,P.S. 723,"Education, Child Welfare, and Youth",201
-73.917004,40.818133,Morales & Lobaina Biling Speech Lang,"Education, Child Welfare, and Youth",201
-73.925538,40.815621,Nmic- Boom!Health,Health and Human Services,201
-73.91845,40.810208,International Community High School,"Education, Child Welfare, and Youth",201
-73.921703,40.808926,Stars Of Tomorrow Daycare Center Inc.,"Education, Child Welfare, and Youth",201
-73.916644,40.817953,Hope Line,Health and Human Services,201
-73.92035,40.816608,Pathways To Graduation,"Education, Child Welfare, and Youth",201
-73.910485,40.809897,Jhs 155 Playground,"Parks, Gardens, and Historical Sites",201
-73.909288,40.820768,El Batey Borincano Garden,"Parks, Gardens, and Historical Sites",201
-73.919533,40.813135,Sunshine Learning Center,"Education, Child Welfare, and Youth",201
-73.923685,40.809751,Ft Parking NY Corp,Core Infrastructure and Transportation,201
-73.914357,40.812488,Betances Vi,Health and Human Services,201
-73.927212,40.817403,"Eugenio Maria de Hostos Community College Foundation, Inc.",Libraries and Cultural Programs,201
-73.905695,40.812835,P.S. 025 Bilingual School,"Education, Child Welfare, and Youth",201
-73.911877,40.821959,Phipps Opportunity Center,"Education, Child Welfare, and Youth",201
-73.916354,40.815959,SoBRO,"Education, Child Welfare, and Youth",201
-73.917796,40.81487,Pauls House,"Education, Child Welfare, and Youth",201
-73.905566,40.816274,St Anselm School,"Education, Child Welfare, and Youth",201
-73.927584,40.809831,Mitchel,Health and Human Services,201
-73.905332,40.818869,South Bronx Academy For Applied Media (Sbaam),"Education, Child Welfare, and Youth",201
-73.91971,40.816861,Legal Services NYC - Bronx,Health and Human Services,201
-73.915224,40.812467,Betances ECC ( NYCHA ),"Education, Child Welfare, and Youth",201
-73.916499,40.800968,BX03g,Core Infrastructure and Transportation,201
-73.911522,40.818132,University Heights Secondary School,"Education, Child Welfare, and Youth",201
-73.915439,40.816928,Ad Parking Inc.,Core Infrastructure and Transportation,201
-73.910549,40.822117,Callen-Lorde Bronx,Health and Human Services,201
-73.924478,40.816758,Lincoln Medical/Ment Hlth Ctr,"Public Safety, Emergency Services, and Administration of Justice",201
-73.923425,40.815494,Children's Pride,"Education, Child Welfare, and Youth",201
-73.916689,40.816134,"Dancing in the Streets, Inc.",Libraries and Cultural Programs,201
-73.918557,40.818057,"Courtlandt Parking Systems, Inc.",Core Infrastructure and Transportation,201
-73.91746,40.821851,NYCHA-Jackson Houses,"Education, Child Welfare, and Youth",201
-73.921236,40.812848,Mott Haven,"Education, Child Welfare, and Youth",201
-73.904196,40.814089,La Casita  I I I  Preschool,"Education, Child Welfare, and Youth",201
-73.908456,40.813657,P.S. 5 Port Morris,"Education, Child Welfare, and Youth",201
-73.919075,40.819032,P.S. 001 Courtlandt School,"Education, Child Welfare, and Youth",201
-73.925435,40.808943,Mitchel,Health and Human Services,201
-73.909828,40.815221,Saint Mary's Cornerstone,"Education, Child Welfare, and Youth",201
-73.916815,40.821559,P.S./M.S. 029 Melrose School,"Education, Child Welfare, and Youth",201
-73.914081,40.821844,Family Group Garden,"Parks, Gardens, and Historical Sites",201
-73.913747,40.818416,Visiting Nurse Home Care - Bronx I,Health and Human Services,201
-73.917748,40.816943,Immaculate Conception Church,"Education, Child Welfare, and Youth",201
-73.92384,40.812347,East Side House Admin Site,"Education, Child Welfare, and Youth",201
-73.929376,40.81334,Narco Freedom-Grand Concourse,Health and Human Services,201
-73.912755,40.804667,Gouverneur Morris Triangle,"Parks, Gardens, and Historical Sites",201
-73.909112,40.820109,PS 157 Playground,"Parks, Gardens, and Historical Sites",201
-73.925538,40.815621,Momentum Project Inc. @ St. Peter's Church,Health and Human Services,201
-73.920399,40.81651,Mercy Center,"Education, Child Welfare, and Youth",201
-73.913747,40.818416,VNSNY Bronx Parachute,Health and Human Services,201
-73.913791,40.813362,P469x - The Bronx School For Continuous Learners,"Education, Child Welfare, and Youth",201
-73.925387,40.809413,Zeta Charter School - Bronx 1,"Education, Child Welfare, and Youth",201
-73.913791,40.813362,P.S. 277,"Education, Child Welfare, and Youth",201
-73.905816,40.818766,Ms 298,"Education, Child Welfare, and Youth",201
-73.932459,40.809867,City Owned Property,Administration of Government,201
-73.912089,40.820468,Rincon Criollo Garden,"Parks, Gardens, and Historical Sites",201
