X,Y,facname,facdomain,borocd
-73.883314,40.818448,Simsmetal East LLC,Core Infrastructure and Transportation,202
-73.903057,40.81098,Martin Luther King Triangle,"Parks, Gardens, and Historical Sites",202
-73.884774,40.816618,Advance Transit,Core Infrastructure and Transportation,202
-73.898313,40.823276,BX Regional Alt HS & Plgd-Jop,"Parks, Gardens, and Historical Sites",202
-73.880711,40.809007,Metal Depot Corp.,Core Infrastructure and Transportation,202
-73.887369,40.813587,PS 048 Joseph R Drake Annex,"Education, Child Welfare, and Youth",202
-73.891272,40.808733,Tiffany,Core Infrastructure and Transportation,202
-73.884914,40.810195,Little Richie Bus Service,Core Infrastructure and Transportation,202
-73.900062,40.822906,Adolescent Day Treatment Center,"Education, Child Welfare, and Youth",202
-73.899212,40.824661,Spanish SDA Church,Health and Human Services,202
-73.872503,40.801237,Dept Of Sanitation S. Bronx Marine Transfer Station Barge Slips,Core Infrastructure and Transportation,202
-73.892679,40.825618,Investigative/Enforcement Unit,"Public Safety, Emergency Services, and Administration of Justice",202
-73.884366,40.822886,Eastern Boulevard Bridge,Core Infrastructure and Transportation,202
-73.897153,40.827455,Peace And Diversity Academy,Health and Human Services,202
-73.898256,40.819526,PS 60 Playground,"Parks, Gardens, and Historical Sites",202
-73.898439,40.820114,The Longwood Academy For Discovery,"Education, Child Welfare, and Youth",202
-73.900439,40.816298,"Trabajamos Community Head Start, Inc.","Education, Child Welfare, and Youth",202
-73.890566,40.813893,Bridges Center I & II,"Education, Child Welfare, and Youth",202
-73.896519,40.824742,Center 2,"Education, Child Welfare, and Youth",202
-73.899165,40.820587,Lutheran Social Services Of Metropolitan New York,"Education, Child Welfare, and Youth",202
-73.878618,40.806651,Hunts Pt Market Expansion Area,Administration of Government,202
-73.884634,40.809174,Phillip Bus Corp (B2192),Core Infrastructure and Transportation,202
-73.897806,40.818971,Bill Rainey Memorial Park,"Parks, Gardens, and Historical Sites",202
-73.899085,40.822126,Passages Academy - Summit,"Education, Child Welfare, and Youth",202
-73.897862,40.817751,Holcombe Rucker School Of Community Research,Health and Human Services,202
-73.892961,40.82039,Casita Maria Center For Arts & Education,"Education, Child Welfare, and Youth",202
-73.885308,40.815869,Ms 424,Health and Human Services,202
-73.898313,40.823276,Roads Charter School II,"Education, Child Welfare, and Youth",202
-73.880051,40.807351,Metropolitan Transfer Station,Core Infrastructure and Transportation,202
-73.901688,40.815159,Playground 52 LII,"Parks, Gardens, and Historical Sites",202
-73.899544,40.816443,Prospect Early Childhood Ctr,"Education, Child Welfare, and Youth",202
-73.897862,40.817751,Banana Kelly High School,Health and Human Services,202
-73.889513,40.815245,Softball Field/Acs Parking,"Parks, Gardens, and Historical Sites",202
-73.885844,40.806453,Ashpa Transfer LLC,Core Infrastructure and Transportation,202
-73.876628,40.803886,New Fulton Fish Market,Administration of Government,202
-73.885181,40.81319,Wildcat Service Corporation,"Education, Child Welfare, and Youth",202
-73.8887,40.814589,La Peninsula  Head Start,"Education, Child Welfare, and Youth",202
-73.894432,40.822205,I S 217,Health and Human Services,202
-73.880551,40.807267,"Bronx City Recycling, Inc.",Core Infrastructure and Transportation,202
-73.898422,40.818408,Rainey Park,"Education, Child Welfare, and Youth",202
-73.887761,40.807783,Espaillat Motors Inc,Core Infrastructure and Transportation,202
-73.891688,40.82148,"Bronx Neighborhood Office, Legal Aid Society","Education, Child Welfare, and Youth",202
-73.88577,40.815477,"MS 201 - School of Theatre, Arts and Research","Education, Child Welfare, and Youth",202
-73.892961,40.82039,Casita Maria,"Education, Child Welfare, and Youth",202
-73.890364,40.814498,Bridges,"Education, Child Welfare, and Youth",202
-73.900418,40.81643,St. Margarets Summer Day Camp,"Education, Child Welfare, and Youth",202
-73.887755,40.818578,"Eng 94, Lad 48, Bat 3","Public Safety, Emergency Services, and Administration of Justice",202
-73.897667,40.817185,PAL New South Bronx Center,"Education, Child Welfare, and Youth",202
-73.894432,40.822205,Entrada Academy,Health and Human Services,202
-73.882531,40.810262,Joseph Rodman Drake Park,"Parks, Gardens, and Historical Sites",202
-73.895858,40.819461,ArchCare Senior Life at San Vicente de Paul Catholic Healthcare Center,Health and Human Services,202
-73.893902,40.822443,I.S. 217 School Of Performing,"Education, Child Welfare, and Youth",202
-73.893425,40.825485,USDA-CEO P723x At Peace & Diversity,"Education, Child Welfare, and Youth",202
-73.902248,40.815267,Kelly/PS 52 Playground,"Parks, Gardens, and Historical Sites",202
-73.900439,40.816298,Fntch,"Education, Child Welfare, and Youth",202
-73.894578,40.826769,PS 150 Playground,"Parks, Gardens, and Historical Sites",202
-73.886516,40.805503,Baretto Pt.Sewage Treatment Pl,Core Infrastructure and Transportation,202
-73.900933,40.820598,Center for Child Health & Resiliency,Health and Human Services,202
-73.888772,40.821396,"Expressway Parking Lot, Inc.",Core Infrastructure and Transportation,202
-73.899248,40.822072,Thessalonia Baptist Church,Health and Human Services,202
-73.890676,40.82266,Lm Aldus Parking LLC,Core Infrastructure and Transportation,202
-73.879501,40.808071,Hunts Pt Market Expansion Area,Core Infrastructure and Transportation,202
-73.889129,40.815587,Julio Carballo Fields Rec Ctr,Administration of Government,202
-73.903023,40.812103,The Bridge Bronx ACT Program,Health and Human Services,202
-73.892272,40.826584,Field Of Dreams Park,"Parks, Gardens, and Historical Sites",202
-73.888588,40.826613,Bryant Triangle,"Parks, Gardens, and Historical Sites",202
-73.886866,40.814116,P.S. 048 Joseph R. Drake,"Education, Child Welfare, and Youth",202
-73.890618,40.821864,Prime Car Park LLC,Core Infrastructure and Transportation,202
-73.886953,40.814425,P.S. 48 Joseph R. Drake School,"Education, Child Welfare, and Youth",202
-73.89076,40.817034,Banknote Center,Administration of Government,202
-73.897428,40.817224,Pal New South Bronx Center,"Education, Child Welfare, and Youth",202
-73.892098,40.821571,Cardinal McCloskey Family Outreach,Health and Human Services,202
-73.897385,40.821539,Ggg Parking Garage Corp.,Core Infrastructure and Transportation,202
-73.886264,40.812456,Hoyt Transportation Corp.,Core Infrastructure and Transportation,202
-73.888704,40.810877,"Tri-State Biodiesel, LLC",Core Infrastructure and Transportation,202
-73.900439,40.816298,Xarm,"Education, Child Welfare, and Youth",202
-73.878307,40.809154,Hunts Pt Market Wholesale,Core Infrastructure and Transportation,202
