X,Y,facname,facdomain,borocd
-73.929649,40.702343,Academic High School,"Education, Child Welfare, and Youth",304
-73.925926,40.697859,Community Park,"Parks, Gardens, and Historical Sites",304
-73.913236,40.696398,Site #5 Fcc (Woodbine),"Education, Child Welfare, and Youth",304
-73.926246,40.699228,Bethany House/St. Christopher,Health and Human Services,304
-73.934141,40.698612,"Cando, Adriano",Core Infrastructure and Transportation,304
-73.912671,40.684506,Mt. Paran Community Development Corp.,Health and Human Services,304
-73.91941,40.688259,Ace Preschool,"Education, Child Welfare, and Youth",304
-73.918676,40.698897,Knickerbocker Plaza,"Parks, Gardens, and Historical Sites",304
-73.919548,40.698486,New Life Child Dev Ctr 4,"Education, Child Welfare, and Youth",304
-73.913236,40.696398,Site #1 (Woodbine),"Education, Child Welfare, and Youth",304
-73.926597,40.698316,Eng 218,"Public Safety, Emergency Services, and Administration of Justice",304
-73.902077,40.690848,Bmt Land Easements,Core Infrastructure and Transportation,304
-73.917632,40.69909,Brooklyn A's Bushwick Office,Health and Human Services,304
-73.913384,40.693322,PS 106 & Playground,"Education, Child Welfare, and Youth",304
-73.926246,40.699228,Bethany House I,"Education, Child Welfare, and Youth",304
-73.931918,40.701207,Cathedral of Joy CDC,Health and Human Services,304
-73.912161,40.701625,St. Brigid Catholic Academy,"Education, Child Welfare, and Youth",304
-73.913236,40.696398,New Life Child Dev Ctr 1,"Education, Child Welfare, and Youth",304
-73.909271,40.684019,"La Casa de Salud, Inc.",Health and Human Services,304
-73.910418,40.685477,John Coker DCC,"Education, Child Welfare, and Youth",304
-73.933035,40.701933,Green Central Knoll,"Parks, Gardens, and Historical Sites",304
-73.91298,40.694804,Madison Square Garden Association,"Parks, Gardens, and Historical Sites",304
-73.926317,40.700268,Catholic Migration - Bushwick Office,Health and Human Services,304
-73.927966,40.694409,P.S. 274 Kosciusko,"Education, Child Welfare, and Youth",304
-73.92767,40.700957,Beacon North Brooklyn YMCA Day Camp,"Education, Child Welfare, and Youth",304
-73.917722,40.69097,P.S. 299 & Playground,"Parks, Gardens, and Historical Sites",304
-73.909271,40.684019,Bushwick Multi-Service Center,Health and Human Services,304
-73.919288,40.697694,Jhs 383 Philippa Schuyler,"Education, Child Welfare, and Youth",304
-73.914623,40.687869,Thurston Memorial Oureach Ministries,Health and Human Services,304
-73.929176,40.69381,Footsteps Childcare Inc.,"Education, Child Welfare, and Youth",304
-73.934664,40.698155,City Owned Property,Administration of Government,304
-73.910214,40.68665,Evergreen Playground,"Parks, Gardens, and Historical Sites",304
-73.912406,40.684451,Bushwick Family Services,"Education, Child Welfare, and Youth",304
-73.912161,40.701625,Saint Brigid Catholic Academy,"Education, Child Welfare, and Youth",304
-73.9043,40.688867,Wilson Avenue Subway Station (Dual System BMT),"Parks, Gardens, and Historical Sites",304
-73.915886,40.698462,Mrny Bushwick,Health and Human Services,304
-73.909271,40.684019,Bushwick Multi-Service Center,Administration of Government,304
-73.919288,40.697694,J.H.S. 383 Philippa Schuyler,"Education, Child Welfare, and Youth",304
-73.914347,40.687715,St Marks Lutheran Ax 906,"Education, Child Welfare, and Youth",304
-73.932285,40.701456,Police Service Area #3,"Education, Child Welfare, and Youth",304
-73.90484,40.689751,PS 384 & Playground,"Parks, Gardens, and Historical Sites",304
