X,Y,facname,facdomain,borocd
-73.939614,40.839183,Columbia University L/T Lease,Administration of Government,112
-73.926807,40.856178,Early Childhood Learning Ctr At Gwhs,"Education, Child Welfare, and Youth",112
-73.938086,40.84609,Plaza de Las Americas,"Parks, Gardens, and Historical Sites",112
-73.923143,40.865952,Fresh Youth Initiat Summer Of Se,"Education, Child Welfare, and Youth",112
-73.917504,40.870405,Northeastern Academy,"Education, Child Welfare, and Youth",112
-73.948528,40.834998,"Central Parking System Of New York,Inc.",Core Infrastructure and Transportation,112
-73.937308,40.85742,Bennett Rest,"Parks, Gardens, and Historical Sites",112
-73.944554,40.84251,Children's Technical Assistance Center for Clinic Treatment,Health and Human Services,112
-73.93374,40.858132,Fort Tryon Park,"Parks, Gardens, and Historical Sites",112
-73.9379,40.852062,181st Street Subway Station (IND),"Parks, Gardens, and Historical Sites",112
-73.939164,40.845192,Washington Heights Ecumenical Food Pantry,Health and Human Services,112
-73.940943,40.838778,Richard Salyer House,Health and Human Services,112
-73.94508,40.832722,Stella,Health and Human Services,112
-73.911956,40.869695,Mta Bus/Paragon Time Warner,Administration of Government,112
-73.931659,40.85271,Fort George Head Start,"Education, Child Welfare, and Youth",112
-73.9321,40.862348,Fort Tryon Park And The Cloisters,"Parks, Gardens, and Historical Sites",112
-73.932493,40.857657,Peak Time Parking Inc.,Core Infrastructure and Transportation,112
-73.929876,40.850807,185th Street Plaza,"Parks, Gardens, and Historical Sites",112
-73.941258,40.836049,Lemar Parking Corp.,Core Infrastructure and Transportation,112
-73.940827,40.831506,Bethel Holy Church,Health and Human Services,112
-73.939228,40.837255,Washington Hts Rehab (Groups I And II),Health and Human Services,112
-73.937279,40.846123,Northern Manhattan Improvement Corporation,"Education, Child Welfare, and Youth",112
-73.937188,40.84632,Washington Heights and Inwood Development Corporation,Libraries and Cultural Programs,112
-73.91815,40.862704,Manhattan Christian Academy,"Education, Child Welfare, and Youth",112
-73.935609,40.850456,"Children's Arts & Science Workshops, Inc.","Education, Child Welfare, and Youth",112
-73.912152,40.868736,Manhattan 12 Garage/Man.8 Gar,Administration of Government,112
-73.916582,40.868834,Northern Manhattan Coalition For Immigrant Rights,Health and Human Services,112
-73.930411,40.858476,Community Parking Corp,Core Infrastructure and Transportation,112
-73.9239,40.866366,Muscota,"Education, Child Welfare, and Youth",112
-73.918229,40.860474,Scofflaw Tow Pound,Administration of Government,112
-73.931659,40.85271,Fort George Child And Dev. Center,"Education, Child Welfare, and Youth",112
-73.942103,40.8333,Marshall Plaza,Health and Human Services,112
-73.926191,40.855599,High School For Media And Communications,"Education, Child Welfare, and Youth",112
-73.940451,40.851545,"Anthropologists, Inc.",Libraries and Cultural Programs,112
-73.938072,40.841452,"PS 128 Plygrnd & Mini-Schl,Jop","Education, Child Welfare, and Youth",112
-73.939164,40.845192,Arc Xvi Fort Washington Inc,Health and Human Services,112
-73.935373,40.851527,34th Pct Station House,"Public Safety, Emergency Services, and Administration of Justice",112
