X,Y,facname,facdomain,borocd
-73.945733,40.780877,Holmes Towers Eisman Nurs,"Education, Child Welfare, and Youth",108
-73.96936,40.764618,Distinctive Parking LLC,Core Infrastructure and Transportation,108
-73.956912,40.779049,Ramaz Middle School,"Education, Child Welfare, and Youth",108
-73.954245,40.773327,Continental Towers,"Parks, Gardens, and Historical Sites",108
-73.964391,40.765124,Phoenix,"Parks, Gardens, and Historical Sites",108
-73.968648,40.762812,Plaza Tower,"Parks, Gardens, and Historical Sites",108
-73.950164,40.775165,Strathmore,"Parks, Gardens, and Historical Sites",108
-73.952941,40.779682,Claridge 87 Parking LLC,Core Infrastructure and Transportation,108
-73.96902,40.762809,Lighthouse CDC,"Education, Child Welfare, and Youth",108
-73.950975,40.78271,Holmes Towers,"Education, Child Welfare, and Youth",108
-73.953411,40.768013,Stratford,"Parks, Gardens, and Historical Sites",108
-73.952144,40.767644,Epiphany Community Nursery School,"Education, Child Welfare, and Youth",108
-73.962145,40.764171,HSS ASC of Manhattan,Health and Human Services,108
-73.944626,40.782724,Stanley M Isaacs Park,"Parks, Gardens, and Historical Sites",108
-73.958669,40.759454,Twenty Four Sycamores Park,"Parks, Gardens, and Historical Sites",108
-73.950929,40.771229,Imperial Parking Us LLC,Core Infrastructure and Transportation,108
-73.958191,40.775333,Unitarian Church of All Souls,Health and Human Services,108
-73.950797,40.77861,Corniche,"Parks, Gardens, and Historical Sites",108
-73.94794,40.775923,Quik Park 86th St. LLC,Core Infrastructure and Transportation,108
-73.96315,40.777261,"985 FIFTH AVENUE, New York, NY 10075","Parks, Gardens, and Historical Sites",108
-73.957755,40.767088,Lenox Hill Neighborhood House,Health and Human Services,108
-73.953164,40.771154,I. Sherwood Wright Center for Aging,Health and Human Services,108
-73.952847,40.785237,Majestic Car Park LLC,Core Infrastructure and Transportation,108
-73.964709,40.767686,Hunter College,"Education, Child Welfare, and Youth",108
-73.961762,40.767289,Trump Palace,"Parks, Gardens, and Historical Sites",108
-73.949394,40.772184,Caldwell,"Parks, Gardens, and Historical Sites",108
-73.951781,40.769032,Capital Car Park LLC,Core Infrastructure and Transportation,108
-73.958199,40.783684,Camp Keshet,"Education, Child Welfare, and Youth",108
-73.954939,40.76489,NY Hospital Medical Archives,Libraries and Cultural Programs,108
-73.956255,40.780871,Carlton Park,"Parks, Gardens, and Historical Sites",108
-73.963201,40.777041,"980 FIFTH AVENUE, New York, NY 10075","Parks, Gardens, and Historical Sites",108
-73.962993,40.774386,"Carlyle Car Park, LLC",Core Infrastructure and Transportation,108
-73.952689,40.776091,Champion Parking 83rd St Corp,Core Infrastructure and Transportation,108
-73.961416,40.779865,Marymount School Of NY,"Education, Child Welfare, and Youth",108
-73.947885,40.77588,"444 EAST 86 STREET, New York, NY 10028","Parks, Gardens, and Historical Sites",108
-73.9575,40.784712,"Burden, James A. Jr., House and Kahn, Otto H. House","Parks, Gardens, and Historical Sites",108
-73.960738,40.775333,Park Avenue Malls,"Parks, Gardens, and Historical Sites",108
-73.954183,40.784984,Preschool Of America (Usa) Inc.,"Education, Child Welfare, and Youth",108
-73.954732,40.778669,Park Lane Towers,"Parks, Gardens, and Historical Sites",108
-73.951629,40.773265,Quik Park Chesapeake LLC,Core Infrastructure and Transportation,108
-73.947191,40.782344,Mt Sinai Adolescent Health Center,Health and Human Services,108
-73.950984,40.785454,PS 198 Plgd (Jop) Judg Seabury,"Parks, Gardens, and Historical Sites",108
-73.96518,40.768729,CUNY Hunter College,"Education, Child Welfare, and Youth",108
-73.955031,40.787282,La Scuola D'Italia G. Marconi,"Education, Child Welfare, and Youth",108
-73.950199,40.772429,Champion Parking 80 LLC,Core Infrastructure and Transportation,108
-73.958191,40.775333,All Souls School,"Education, Child Welfare, and Youth",108
-73.961935,40.772252,Resurrection Episcopal Day School,"Education, Child Welfare, and Youth",108
-73.9611,40.776963,"49 East 80th Street, House at","Parks, Gardens, and Historical Sites",108
-73.951788,40.759945,Mskcc Children's Center,"Education, Child Welfare, and Youth",108
-73.943503,40.775139,Carl Schurz Park,Administration of Government,108
