X,Y,facname,facdomain,borocd
-73.880912,40.701812,Myrtle/Cooper Plaza,"Parks, Gardens, and Historical Sites",405
-73.909442,40.699963,Venditti Square Plaza,"Parks, Gardens, and Historical Sites",405
-73.908115,40.720796,American Towing Service Inc.,Core Infrastructure and Transportation,405
-73.895778,40.72912,Triangular Landscaped Property,"Parks, Gardens, and Historical Sites",405
-73.895501,40.712725,Outside Plnt Operations Garage,Administration of Government,405
-73.880765,40.717355,Baisley Park Extension,"Education, Child Welfare, and Youth",405
-73.877603,40.710309,City Owned Property,Administration of Government,405
-73.922263,40.716458,City Owned Property,Administration of Government,405
-73.876986,40.705987,Queens Library - Glendale,"Education, Child Welfare, and Youth",405
-73.893136,40.700679,Gryc Summer Learning Experience,"Education, Child Welfare, and Youth",405
-73.911462,40.699776,Wyckoff Plaza,"Parks, Gardens, and Historical Sites",405
-73.915322,40.709844,City Owned Property,Administration of Government,405
-73.904584,40.697832,Ridgewood Parking LLC,Core Infrastructure and Transportation,405
-73.906482,40.719979,City Owned Property,Administration of Government,405
-73.889751,40.725792,Park,"Parks, Gardens, and Historical Sites",405
-73.874327,40.723023,Juniper Valley Park,"Education, Child Welfare, and Youth",405
-73.894793,40.724923,Frank Frontera Park,"Parks, Gardens, and Historical Sites",405
-73.915657,40.707232,Learners And Leaders Annex,"Education, Child Welfare, and Youth",405
-73.873723,40.711691,"Miniventures Of NY, Inc Site #2","Education, Child Welfare, and Youth",405
-73.893315,40.701077,NYC Queens Community Board 5 Office,Administration of Government,405
-73.906642,40.713157,"Eng 291, Lad 140","Public Safety, Emergency Services, and Administration of Justice",405
-73.873724,40.721627,NY League Forest Hills West,"Education, Child Welfare, and Youth",405
-73.884887,40.703513,Pre-K Center At 68-10 Central Avenue,"Education, Child Welfare, and Youth",405
-73.902571,40.705171,Ridgewood,Libraries and Cultural Programs,405
-73.89537,40.706811,Fresh Pond Depot,Core Infrastructure and Transportation,405
-73.884556,40.71875,Juniper Valley Park,"Parks, Gardens, and Historical Sites",405
-73.890063,40.728697,USDA-CEO P009q At P058q,"Education, Child Welfare, and Youth",405
-73.89974,40.711719,"Ridge Pond Auto Repair, Inc.",Core Infrastructure and Transportation,405
-73.909043,40.699568,Midway Paris Beauty School,"Education, Child Welfare, and Youth",405
-73.897699,40.699211,Agape Christian Center,Health and Human Services,405
-73.894349,40.724857,Peter Chahales Park,"Parks, Gardens, and Historical Sites",405
