X,Y,facname,facdomain,borocd
-74.213901,40.541948,PS 56-R,"Education, Child Welfare, and Youth",503
-74.180294,40.564161,City Owned Property,Administration of Government,503
-74.230556,40.51826,City Owned Property,Administration of Government,503
-74.218351,40.555303,City Owned Property,Administration of Government,503
-74.149575,40.552537,Staten Island Community Services Friendship Clubs,Health and Human Services,503
-74.160201,40.528538,Landscaped Area To Be New Park,"Parks, Gardens, and Historical Sites",503
-74.181942,40.541291,Sweet Brook  Bluebelt,"Parks, Gardens, and Historical Sites",503
-74.225421,40.509997,"Long Pond Park, Phase I","Parks, Gardens, and Historical Sites",503
-74.184472,40.551915,Carlton Park,"Parks, Gardens, and Historical Sites",503
-74.166072,40.525766,City Owned Property,Administration of Government,503
-74.162286,40.562071,La Tourette Park & Golfcourse,"Parks, Gardens, and Historical Sites",503
-74.140069,40.546164,City Owned Property,Administration of Government,503
-74.139498,40.572243,St. Patrick's,Health and Human Services,503
-74.182753,40.523587,Bunker Ponds Park,"Parks, Gardens, and Historical Sites",503
-74.18993,40.530263,Huguenot Ponds Park  R131,"Parks, Gardens, and Historical Sites",503
-74.146233,40.545401,USDA-CEO P721r At IS 24r,"Education, Child Welfare, and Youth",503
-74.196377,40.559696,Arden Heights Woods   R-120,"Parks, Gardens, and Historical Sites",503
-74.238705,40.536434,Ultimate Collision & Towing Inc,Core Infrastructure and Transportation,503
-74.227156,40.518835,P/O Lot Long Pond Park Add R27,"Parks, Gardens, and Historical Sites",503
-74.145668,40.552986,City Owned Property,Administration of Government,503
-74.142699,40.545133,"Unikids, Inc.","Education, Child Welfare, and Youth",503
-74.148632,40.54903,Jack's Pond Phase II,"Parks, Gardens, and Historical Sites",503
-74.233246,40.521194,City Owned Property,Administration of Government,503
-74.18275,40.543522,Park,"Parks, Gardens, and Historical Sites",503
-74.137106,40.552153,Uau P.S. 53 Summer Day Camp,"Education, Child Welfare, and Youth",503
-74.233129,40.503065,Hybrid Oaks Woods Park,"Parks, Gardens, and Historical Sites",503
-74.213481,40.553737,Eng 168/Ems Station 23,"Public Safety, Emergency Services, and Administration of Justice",503
-74.230703,40.518172,City Owned Property,Administration of Government,503
-74.108241,40.555621,Great Kills Park,"Parks, Gardens, and Historical Sites",503
-74.185122,40.528336,Arbutus Woods,"Parks, Gardens, and Historical Sites",503
-74.149575,40.552537,South Shore Toddler Academy And Pre 'K,"Education, Child Welfare, and Youth",503
-74.19566,40.534925,"Eng 164, Lad - 84 Parking",Administration of Government,503
-74.118104,40.563832,St Charles School,"Education, Child Welfare, and Youth",503
-74.139219,40.572514,St Patrick School,"Education, Child Welfare, and Youth",503
-74.150484,40.546612,St. Clare School,"Education, Child Welfare, and Youth",503
-74.201197,40.52549,Prince's Bay,Core Infrastructure and Transportation,503
-74.189561,40.529671,Wolfe's Pond Bluebelt,Core Infrastructure and Transportation,503
-74.187137,40.538396,Ida Court,"Parks, Gardens, and Historical Sites",503
-74.235061,40.538829,Sudden Impact Auto Body & Towing Inc,Core Infrastructure and Transportation,503
-74.192232,40.527932,GED-P2g-Tottenville HS/Even - Ahsep,"Education, Child Welfare, and Youth",503
-74.236942,40.539687,PS 25 & PS 4 Portable,"Education, Child Welfare, and Youth",503
-74.176151,40.552558,Wegener Park,"Parks, Gardens, and Historical Sites",503
-74.189012,40.558048,R-120 Arden Heights Woods Pk,"Parks, Gardens, and Historical Sites",503
-74.169519,40.534654,Part Of Lot Blue Heron Pond Pk,"Parks, Gardens, and Historical Sites",503
-74.235738,40.539413,A&L Collision Specialist Inc,Core Infrastructure and Transportation,503
-74.132912,40.570846,PS 23,"Education, Child Welfare, and Youth",503
-74.163005,40.542541,SI YMCA Nursery - South,"Education, Child Welfare, and Youth",503
-74.196784,40.561112,Owl Hollow Park,"Parks, Gardens, and Historical Sites",503
-74.149354,40.561471,Islington Pond Park,"Parks, Gardens, and Historical Sites",503
-74.24402,40.508845,P.S. 001 Tottenville,"Education, Child Welfare, and Youth",503
-74.159502,40.552558,Scocozzo Carting Corp.,Core Infrastructure and Transportation,503
-74.163564,40.543068,Staten Island YMCA Cnsling Service OP,Health and Human Services,503
-74.129575,40.563999,City Owned Property,Administration of Government,503
-74.189854,40.55915,R.120.Arden.Heights.Woods.Park,"Parks, Gardens, and Historical Sites",503
-74.243075,40.509476,Our Lady Help Ofchristians School,"Education, Child Welfare, and Youth",503
-74.232592,40.531752,Fairview Park,Administration of Government,503
-74.22244,40.511876,Infirmary,"Education, Child Welfare, and Youth",503
-74.236068,40.505452,Tottenville Pool,"Parks, Gardens, and Historical Sites",503
-74.222434,40.51219,Mission Of The Immaculate Virgin/Tender Care Preschool,Health and Human Services,503
-74.185051,40.524666,Kingdom Pond Park  R-138,"Parks, Gardens, and Historical Sites",503
-74.185923,40.523303,USDA-CEO P025r At IS 7r,"Education, Child Welfare, and Youth",503
-74.222434,40.51219,Staten Island Community Services Friendship Clubs,Health and Human Services,503
-74.209099,40.516907,Bloesser's Pond State Tidal Wetland,"Parks, Gardens, and Historical Sites",503
-74.184981,40.540806,Park,"Parks, Gardens, and Historical Sites",503
-74.17711,40.539293,"Words 'N Motion, Pllc","Education, Child Welfare, and Youth",503
-74.181419,40.558784,Arden Heights Woods,"Parks, Gardens, and Historical Sites",503
-74.222434,40.51219,Richmond County Day Camp,"Education, Child Welfare, and Youth",503
-74.182705,40.528266,Arbutus Creek S.I. Bluebelt,"Parks, Gardens, and Historical Sites",503
-74.217985,40.554516,Rosville Pier,Administration of Government,503
-74.241202,40.538469,"Tow World, Inc.",Core Infrastructure and Transportation,503
-74.227825,40.510404,Long Pond Pard Addition - R-27,"Parks, Gardens, and Historical Sites",503
-74.190763,40.552473,City Owned Property,Administration of Government,503
-74.2534,40.503073,Conference House,"Parks, Gardens, and Historical Sites",503
-74.19223,40.527924,USDA-CEO P721r At Tottenville H.S.,"Education, Child Welfare, and Youth",503
-74.164855,40.544144,Staten Island South Shore Workforce1 Career Center,Health and Human Services,503
-74.205768,40.527576,Lemon Creek Bb-Uncas Pond,"Parks, Gardens, and Historical Sites",503
-74.231953,40.532047,Fairview Park/Charleston Site,Administration of Government,503
-74.237949,40.527915,Staten Island Animal Shelter,Administration of Government,503
-74.123435,40.559789,City Owned Property,Administration of Government,503
-74.23261,40.544079,Prodigy Preschool / Staten Island Skating Pavilion,"Education, Child Welfare, and Youth",503
-74.12651,40.567396,Monsignor Farrell High School,"Education, Child Welfare, and Youth",503
-74.152202,40.544518,Sycamore Street,Administration of Government,503
-74.146233,40.545401,P721 At IS 24,"Education, Child Welfare, and Youth",503
-74.148146,40.554445,PS 37 At 32 Mini,"Education, Child Welfare, and Youth",503
-74.186813,40.538662,Ida Court,"Parks, Gardens, and Historical Sites",503
-74.236364,40.534597,"Staten Island's Finest, Inc.",Core Infrastructure and Transportation,503
-74.1607,40.543787,St. Alban's Episcopal Church,"Parks, Gardens, and Historical Sites",503
-74.180192,40.540932,Sweet Brook Blue Belt,"Parks, Gardens, and Historical Sites",503
-74.165584,40.556898,Congregation Oorah,"Education, Child Welfare, and Youth",503
-74.229034,40.547455,"Certified Towing, Inc",Core Infrastructure and Transportation,503
-74.214282,40.532693,Bloomingdale Park,"Parks, Gardens, and Historical Sites",503
-74.149281,40.548099,Jack's Pond Bluebelt,"Parks, Gardens, and Historical Sites",503
-74.19223,40.527924,USDA-CEO P025r At Tottenville HS,"Education, Child Welfare, and Youth",503
-74.162775,40.542539,Young MenS Christian Association Of Greater New York,"Education, Child Welfare, and Youth",503
-74.184637,40.52854,Arbutus Woods Park R-133,"Parks, Gardens, and Historical Sites",503
-74.17624,40.548587,Sweet Brook Bluebelt Addition,"Parks, Gardens, and Historical Sites",503
-74.16842,40.555865,The Perfect Playground,"Education, Child Welfare, and Youth",503
-74.160201,40.528573,Blueberry Park,"Parks, Gardens, and Historical Sites",503
-74.230302,40.518524,City Owned Property,Administration of Government,503
-74.196283,40.516842,Staten Island University Hospital MMD,Health and Human Services,503
-74.182572,40.538759,City Owned Property,Administration of Government,503
-74.184886,40.523426,Bunker Ponds Park   R-132,"Parks, Gardens, and Historical Sites",503
-74.178517,40.547844,Bridge Preparatory Charter School,"Education, Child Welfare, and Youth",503
-74.160488,40.532747,Staten Island Children's Academy,"Education, Child Welfare, and Youth",503
-74.231291,40.508157,Ll- So Shore Little League,Administration of Government,503
-74.216738,40.551559,City Owned Property,Administration of Government,503
-74.18818,40.520566,City Owned Property,Administration of Government,503
-74.230202,40.508386,So. Richmond HS Babe Ruth Baseball,"Education, Child Welfare, and Youth",503
-74.172762,40.535053,Blue Heron Park   R-119,"Parks, Gardens, and Historical Sites",503
-74.132639,40.559146,Cbi Academy Preschool,"Education, Child Welfare, and Youth",503
-74.169689,40.534895,Blue Heron Park  R-119,"Parks, Gardens, and Historical Sites",503
-74.178979,40.534027,Blue Heron Park Addition,"Parks, Gardens, and Historical Sites",503
-74.19221,40.533688,Part Of Lot 67  R-98,"Parks, Gardens, and Historical Sites",503
-74.165695,40.525805,City Owned Property,Administration of Government,503
-74.200776,40.55769,Mayflower Pumping St/Dos Facil,Administration of Government,503
-74.192783,40.546505,City Owned Property,Administration of Government,503
-74.222434,40.51219,Father Drumgoole Cyo Camp,"Education, Child Welfare, and Youth",503
-74.184941,40.525435,Kingdom Pond Park,"Parks, Gardens, and Historical Sites",503
-74.1889,40.538519,Park,Administration of Government,503
-74.147573,40.55036,Jack's Pond Blue Belt,"Parks, Gardens, and Historical Sites",503
-74.1577,40.538566,Sliver,Administration of Government,503
-74.227078,40.508561,Long Pond Park Addition R-27,"Parks, Gardens, and Historical Sites",503
-74.24321,40.507848,I.S. 34 Tottenville Intermediate School,"Education, Child Welfare, and Youth",503
-74.222677,40.508614,Monsignor Kenny Cottage,"Education, Child Welfare, and Youth",503
-74.167232,40.550085,T.I.P.S.E. (Toddler Infant Preschl),"Education, Child Welfare, and Youth",503
-74.216723,40.52763,Small World Preschool,"Education, Child Welfare, and Youth",503
-74.225747,40.523463,Meredith Woods,"Parks, Gardens, and Historical Sites",503
