Borough,borocd,lat,long
BROOKLYN,315,40.608862,-73.965058
BROOKLYN,314,40.632862,-73.950267
BROOKLYN,315,40.604368,-73.949261
BROOKLYN,308,40.679507,-73.964084
BRONX,211,40.842362,-73.870175
QUEENS,413,40.663419,-73.731264
BRONX,207,40.867298,-73.894929
QUEENS,414,40.576534,-73.856199
MANHATTAN,105,40.761574,-73.983962
MANHATTAN,106,40.727353,-73.973106
BROOKLYN,313,40.57542,-73.966623
MANHATTAN,102,40.729376,-73.993423
BROOKLYN,311,40.613198,-73.996189
BROOKLYN,305,40.656509,-73.896761
BROOKLYN,312,40.640545,-74.000731
STATEN ISLAND,503,40.5642,-74.155594
MANHATTAN,107,40.774279,-73.981265
BROOKLYN,313,40.591301,-73.978306
QUEENS,414,40.595165,-73.755038
MANHATTAN,101,40.717827,-74.004322
STATEN ISLAND,503,40.545414,-74.147404
BROOKLYN,301,40.705483,-73.93281
STATEN ISLAND,501,40.645566,-74.078517
QUEENS,413,40.651598,-73.736429
MANHATTAN,104,40.761098,-73.996892
BROOKLYN,301,40.709437,-73.951634
BROOKLYN,308,40.670084,-73.93379
MANHATTAN,108,40.765159,-73.970279
QUEENS,411,40.755613,-73.789196
MANHATTAN,107,40.788365,-73.97825
MANHATTAN,101,40.708497,-74.007477
MANHATTAN,102,40.717912,-73.999794
BROOKLYN,303,40.692642,-73.958794
QUEENS,405,40.705722,-73.912633
BROOKLYN,301,40.710327,-73.942699
STATEN ISLAND,502,40.578372,-74.115913
BROOKLYN,301,40.722075,-73.948991
QUEENS,408,40.711047,-73.794232
QUEENS,414,40.56956,-73.861167
BROOKLYN,305,40.676444,-73.887533
QUEENS,407,40.763456,-73.807185
BROOKLYN,311,40.60642,-73.984201
BROOKLYN,302,40.695201,-73.990869
BROOKLYN,306,40.680371,-73.990676
BROOKLYN,302,40.680747,-73.962626
MANHATTAN,105,40.746286,-73.986142
QUEENS,405,40.724381,-73.893048
QUEENS,410,40.667548,-73.816943
STATEN ISLAND,502,40.606738,-74.131884
BROOKLYN,302,40.695205,-73.976196
QUEENS,406,40.706649,-73.855143
BROOKLYN,316,40.661717,-73.901914
BROOKLYN,302,40.700092,-73.987529
BROOKLYN,301,40.700248,-73.952481
BRONX,201,40.810945,-73.924503
STATEN ISLAND,503,40.566112,-74.15228
QUEENS,401,40.763728,-73.914669
QUEENS,411,40.758046,-73.778006
QUEENS,403,40.752606,-73.863117
QUEENS,407,40.755852,-73.832715
MANHATTAN,107,40.773205,-73.978713
QUEENS,407,40.788177,-73.840994
BROOKLYN,315,40.595305,-73.973995
QUEENS,410,40.677081,-73.812374
QUEENS,413,40.65513,-73.733835
QUEENS,402,40.744974,-73.919045
QUEENS,406,40.728412,-73.844257
QUEENS,413,40.673021,-73.754939
BROOKLYN,306,40.681625,-73.987651
BRONX,212,40.904101,-73.845376
QUEENS,406,40.727518,-73.86402
QUEENS,401,40.758587,-73.935492
BROOKLYN,303,40.688163,-73.953305
QUEENS,401,40.761191,-73.924931
BRONX,209,40.81179,-73.855211
MANHATTAN,103,40.711999,-73.989871
STATEN ISLAND,502,40.60626,-74.086408
BRONX,212,40.876831,-73.86681
BRONX,202,40.813893,-73.890566
BROOKLYN,314,40.63589,-73.958303
STATEN ISLAND,502,40.579197,-74.111612
BROOKLYN,303,40.682282,-73.957495
QUEENS,406,40.725431,-73.845754
BROOKLYN,304,40.692987,-73.906902
