acres,cd_tot_bldgs,pop_2010,poverty_rate_nyc,crime_per_1000,count_parks,count_hosp_clinic,count_libraries,count_public_schools,pct_hh_rent_burd,borocd,cd_short_title,CD Name,build_dens
3025.3,16906,173083,20.3,16.143842,28,19,4,49,40.6,301,Brooklyn CD 1,"Williamsburg, Greenpoint",5.588206128317853
2459.8,29458,143317,20.3,7.364655,4,9,2,31,48.3,409,Queens CD 9,"Woodhaven, Richmond Hill",11.975770387836409
8044.4,69527,188593,20.3,8.711107,13,6,7,64,43.8,413,Queens CD 13,"Queens Village, Rosedale",8.642906866888767
2113.1,5420,101731,20.3,8.827964,20,10,6,33,43.8,208,Bronx CD 8,"Riverdale, Kingsbridge, Marble Hill",2.5649519663054283
1824.2,17006,152985,20.3,20.585544,35,20,4,95,46.1,303,Brooklyn CD 3,Bedford Stuyvesant,9.322442714614626
1300.9,11575,112634,20.3,11.884736,14,14,2,51,48.6,304,Brooklyn CD 4,Bushwick,8.897686217234222
3569.3,23281,182896,20.3,20.905923,38,23,4,106,47.1,305,Brooklyn CD 5,"East New York, Starrett City",6.522567450200319
1962.7,14234,104709,20.3,9.79208,17,17,4,45,29.3,306,Brooklyn CD 6,"Park Slope, Carroll Gardens",7.252254547307281
1821,8677,99617,20.3,14.580443,28,27,4,61,32.1,302,Brooklyn CD 2,"Brooklyn Heights, Fort Greene",4.764964305326743
1223.5,6816,139286,20.3,15.823031,16,20,4,46,55,207,Bronx CD 7,"Bedford Park, Norwood, Fordham",5.570903146710258
1275,3306,146441,20.3,16.109177,33,26,3,77,54.6,204,Bronx CD 4,"Highbridge, Concourse Village",2.592941176470588
879.5,3441,128200,20.3,13.975545,22,34,3,52,59.8,205,Bronx CD 5,"University Hts., Fordham, Mt. Hope",3.9124502558271743
985.3,4329,83268,20.3,17.414224,17,27,3,62,51.6,206,Bronx CD 6,"East Tremont, Belmont",4.39358570993606
2368.6,29551,181981,20.3,5.908536,5,10,2,33,46.8,311,Brooklyn CD 11,"Bensonhurst, Bath Beach",12.476146246728025
2292.3,24891,191382,20.3,6.022785,6,23,4,26,60.6,312,Brooklyn CD 12,"Borough Park, Ocean Parkway",10.85852637089386
2023.6,7895,104278,20.3,8.662746,17,12,4,36,45.5,313,Brooklyn CD 13,"Coney Island, Brighton Beach",3.901462739671872
1886.6,17015,160664,20.3,8.833473,2,18,5,35,50.1,314,Brooklyn CD 14,"Flatbush, Midwood",9.018869924732323
3022.2,30643,159650,20.3,7.90535,9,18,6,36,47.1,315,Brooklyn CD 15,"Sheepshead Bay, Gerritsen Beach",10.139302494871286
1131.6,3925,103245,20.3,20.731942,21,26,2,53,34.2,104,Manhattan CD 4,"Chelsea, Clinton",3.468540120183811
3556.3,24673,152344,20.3,15.674988,6,17,5,42,50.4,212,Bronx CD 12,"Wakefield, Williamsbridge",6.937828642128054
1188.4,8567,86468,20.3,12.58877,23,7,3,55,51.2,316,Brooklyn CD 16,"Brownsville, Ocean Hill",7.208852238303601
2153.2,24400,155252,20.3,14.626822,6,10,3,44,49.3,317,Brooklyn CD 17,"East Flatbush, Rugby, Farragut",11.331971019877393
5410.5,44947,193543,20.3,9.498186,17,10,5,51,43.4,318,Brooklyn CD 18,"Canarsie, Flatlands",8.307365308197024
3938,24420,191105,20.3,12.989852,13,18,6,57,39.2,401,Queens CD 1,"Astoria, Long Island City",6.201117318435754
